vehicle_id,customer_id,brand,model,year,plate
43,3973,Mazda,Mazda3,2013,ZWWH-35
44,1281,Toyota,Corolla,2022,TW-8250
45,4749,Suzuki,Swift,2025,KH-8573
46,3421,Kia,Sportage,2021,TRWC-73
47,2043,Suzuki,Swift,2016,KPCD-78
48,1251,Hyundai,Tucson,2017,PR-827
49,1547,Chevrolet,Spark,2017,CA-1390
50,2432,Chevrolet,Tracker,2023,RWTX-74
51,3065,Toyota,Corolla,2013,VCBR-15
52,1070,Toyota,RAV4,2018,BVZR-84
53,1983,Chevrolet,Spark,2014,BGSV-05
54,203,Nissan,Versa,2015,SZXB-24
55,4732,Nissan,Sentra,2013,WT-6056
56,799,Nissan,Sentra,2018,SRTG-77
57,102,Hyundai,Accent,2013,DY-4340
58,3039,Kia,Sportage,2013,PR-678
59,4051,Kia,Sportage,2016,CRKC-75
60,1802,Mazda,CX-5,2022,PB-1801
61,1742,Kia,Sportage,2022,TS-3035
62,2764,Hyundai,Tucson,2020,SJWP-73
63,568,Kia,Sportage,2020,VKJZ-81
64,2790,Chevrolet,Tracker,2024,BSCS-48
65,3257,Toyota,Yaris,2018,KCPF-90
66,2235,Mazda,CX-5,2017,XCSJ-97
67,1610,Kia,Sportage,2015,LXLK-99
68,3283,Toyota,Corolla,2020,FFSY-25
69,1772,Kia,Rio,2024,ZK-9591
70,1299,Mazda,Mazda3,2025,GZBD-06
71,4911,Nissan,Versa,2020,PR-143
72,899,Kia,Rio,2019,Z-0307
73,3095,Nissan,Sentra,2024,KR-3490
74,97,Hyundai,Accent,2022,KPPP-98
75,1513,Toyota,RAV4,2017,HSXV-63
76,4719,Hyundai,Tucson,2021,XS-2692
77,1155,Mazda,Mazda3,2024,JPXT-89
78,4739,Nissan,Versa,2017,VHRR-70
79,2029,Chevrolet,Tracker,2014,RTFP-74
80,497,Toyota,Corolla,2024,ZVDT-85
81,1640,Mazda,CX-5,2015,HSPZ-20
82,520,Chevrolet,Tracker,2016,PR-247
83,198,Hyundai,Tucson,2019,LG-3534
84,4912,Suzuki,Baleno,2022,JJJC-10
85,4382,Chevrolet,Spark,2024,LFXJ-71
86,2376,Mazda,Mazda3,2025,CDCC-22
87,4741,Suzuki,Swift,2012,RP-6359
88,1234,Hyundai,Accent,2016,DPWV-43
89,52,Hyundai,Accent,2017,TP-8907
90,2051,Hyundai,Tucson,2014,WVYF-23
91,3991,Kia,Sportage,2017,YWGP-69
92,1475,Kia,Rio,2016,JW-6111
93,3992,Toyota,Yaris,2012,HHZL-01
94,4248,Nissan,Versa,2023,Z-1692
95,2059,Nissan,Sentra,2021,CSFV-89
96,3334,Hyundai,Tucson,2012,PD-1376
97,3071,Nissan,Sentra,2022,ZBYC-44
98,2320,Suzuki,Swift,2015,KD-5270
99,673,Chevrolet,Tracker,2016,HPTK-77
100,4887,Mazda,CX-5,2020,PWWZ-32
101,2529,Chevrolet,Spark,2016,GY-9532
102,961,Nissan,Sentra,2020,DKSV-74
103,603,Toyota,RAV4,2014,BSZV-41
104,2199,Hyundai,Tucson,2018,Z-1630
105,3451,Chevrolet,Tracker,2012,VXSV-03
106,2335,Chevrolet,Tracker,2012,DCZF-15
107,568,Suzuki,Swift,2013,PYXJ-73
108,4246,Mazda,CX-5,2014,FLCC-14
109,3789,Mazda,CX-5,2024,RPRG-38
110,4288,Hyundai,Accent,2023,YBGT-58
111,2842,Nissan,Versa,2023,GL-7367
112,3198,Kia,Sportage,2012,YGLR-64
113,2647,Chevrolet,Tracker,2013,FKCP-97
114,4529,Kia,Rio,2020,RP-2025
115,4013,Hyundai,Accent,2017,TH-2030
116,4478,Hyundai,Tucson,2025,RLVD-05
117,2407,Mazda,CX-5,2019,SVJH-63
118,1649,Toyota,Corolla,2015,ZHYW-97
119,993,Suzuki,Baleno,2024,LZLW-56
120,283,Toyota,Yaris,2025,PBBR-56
121,3944,Chevrolet,Tracker,2019,TP-8946
122,423,Kia,Rio,2025,VVDD-03
123,1396,Suzuki,Swift,2023,TYRV-07
124,3280,Mazda,CX-5,2015,RP-5788
125,2706,Toyota,Yaris,2013,VGHD-51
126,2368,Hyundai,Tucson,2012,DJ-4298
127,1867,Toyota,Yaris,2023,HXLF-31
128,4475,Chevrolet,Spark,2024,LTKK-88
129,2117,Toyota,Corolla,2025,DZRB-67
130,3982,Chevrolet,Spark,2019,PWTV-62
131,2478,Chevrolet,Tracker,2024,SPBC-36
132,4454,Kia,Sportage,2012,WF-2818
133,2121,Kia,Sportage,2019,TTBC-65
134,1137,Toyota,RAV4,2013,SBKJ-58
135,2544,Mazda,Mazda3,2025,PR-613
136,3350,Kia,Sportage,2020,BC-0264
137,3443,Kia,Rio,2021,AW-1398
138,4727,Hyundai,Accent,2024,LDVP-08
139,4604,Chevrolet,Spark,2019,GDWG-60
140,4873,Kia,Sportage,2021,SGHD-82
141,350,Mazda,Mazda3,2015,TJ-1386
142,906,Kia,Sportage,2013,PR-580
143,2881,Suzuki,Swift,2020,JPBT-67
144,3680,Suzuki,Swift,2023,RY-0691
145,4164,Nissan,Versa,2019,WVRJ-50
146,2765,Kia,Sportage,2015,BFWL-28
147,762,Hyundai,Tucson,2021,CBFS-84
148,4591,Suzuki,Baleno,2023,AH-9575
149,899,Hyundai,Tucson,2016,HHRC-81
150,4000,Mazda,CX-5,2014,CH-8231
151,2136,Suzuki,Baleno,2019,RP-5286
152,1870,Chevrolet,Tracker,2012,TXVB-21
153,2074,Hyundai,Tucson,2019,GX-3466
154,2769,Toyota,Corolla,2024,ZSSC-24
155,3696,Hyundai,Accent,2023,RCYK-67
156,4444,Mazda,Mazda3,2021,TJFW-62
157,3583,Toyota,Corolla,2014,FCGV-42
158,799,Mazda,CX-5,2022,LYLZ-51
159,1982,Suzuki,Swift,2017,LKFD-11
160,4218,Hyundai,Accent,2022,PSVP-78
161,339,Suzuki,Baleno,2012,GYYD-80
162,2274,Hyundai,Accent,2019,XG-5290
163,2036,Nissan,Versa,2023,SV-8106
164,4793,Nissan,Versa,2015,LKFL-36
165,1705,Nissan,Versa,2021,JZ-7077
166,3616,Toyota,RAV4,2020,TFKL-38
167,4278,Chevrolet,Tracker,2022,CD-3150
168,3141,Nissan,Versa,2013,XTKF-77
169,1069,Toyota,Yaris,2019,BVYY-51
170,2255,Chevrolet,Spark,2020,JJ-7156
171,4797,Suzuki,Swift,2016,HZLZ-59
172,173,Chevrolet,Tracker,2012,CC-2195
173,1610,Chevrolet,Tracker,2020,CD-4926
174,3400,Chevrolet,Spark,2024,LBYG-63
175,4579,Nissan,Versa,2013,FTLW-02
176,3822,Chevrolet,Spark,2018,CVXS-64
177,3421,Chevrolet,Spark,2024,RRKT-00
178,3918,Nissan,Versa,2021,TGST-97
179,1605,Mazda,CX-5,2020,LTTF-68
180,32,Toyota,Corolla,2012,LCLF-27
181,3094,Chevrolet,Tracker,2025,WFKD-68
182,4949,Suzuki,Swift,2017,PJLK-04
183,4736,Toyota,Yaris,2022,JXDJ-61
184,3922,Mazda,Mazda3,2019,SGXX-99
185,366,Chevrolet,Tracker,2025,PPVF-48
186,4136,Nissan,Sentra,2020,ZA-2577
187,1209,Mazda,CX-5,2022,PR-878
188,1815,Mazda,Mazda3,2023,CC-1456
189,1981,Kia,Rio,2019,CD-0092
190,2216,Toyota,Corolla,2014,AV-2507
191,1634,Kia,Rio,2018,FDXF-49
192,4709,Chevrolet,Tracker,2019,LDJY-36
193,462,Toyota,Yaris,2012,VKJZ-87
194,1746,Chevrolet,Tracker,2015,SWFP-95
195,2115,Mazda,Mazda3,2025,SDYK-47
196,1830,Chevrolet,Spark,2018,RP-4234
197,3318,Suzuki,Swift,2020,PSCY-48
198,1917,Kia,Sportage,2016,PR-912
199,1496,Mazda,Mazda3,2020,GRPR-54
200,81,Chevrolet,Tracker,2014,WGKF-75
201,3709,Chevrolet,Spark,2020,SKHW-26
202,1570,Hyundai,Tucson,2016,Z-7594
203,4224,Chevrolet,Spark,2018,JZSG-38
204,4072,Mazda,Mazda3,2012,XJTJ-07
205,3998,Mazda,Mazda3,2025,PR-580
206,2436,Nissan,Sentra,2018,XWSD-26
207,2154,Suzuki,Baleno,2012,CRYW-84
208,3569,Chevrolet,Tracker,2019,WFTH-35
209,1879,Nissan,Versa,2023,BL-6427
210,3602,Chevrolet,Spark,2014,GYTP-93
211,1827,Mazda,Mazda3,2021,DV-6886
212,3217,Nissan,Versa,2019,VPFD-62
213,298,Suzuki,Baleno,2017,PR-320
214,2946,Kia,Rio,2018,HA-0477
215,3274,Toyota,Corolla,2016,GGLY-34
216,3652,Hyundai,Accent,2023,PR-977
217,2990,Hyundai,Accent,2020,YW-7332
218,647,Hyundai,Tucson,2020,ZZ-3903
219,2040,Kia,Rio,2015,BCTP-70
220,2054,Nissan,Sentra,2018,WRYK-01
221,1913,Nissan,Versa,2019,HTKR-69
222,2614,Nissan,Sentra,2019,PR-158
223,821,Nissan,Sentra,2016,BA-0691
224,822,Chevrolet,Tracker,2014,VJRT-73
225,4644,Hyundai,Tucson,2021,AL-4535
226,209,Nissan,Versa,2019,JHPD-88
227,2420,Chevrolet,Spark,2024,JR-0469
228,2317,Mazda,CX-5,2015,VRDJ-20
229,1282,Kia,Rio,2016,ZRDP-18
230,2305,Suzuki,Swift,2012,BVRC-94
231,3849,Toyota,Corolla,2014,YWVW-81
232,3407,Mazda,Mazda3,2024,RRDT-67
233,389,Nissan,Sentra,2021,GZKH-85
234,4874,Mazda,Mazda3,2020,RWDV-64
235,4976,Mazda,CX-5,2017,KCXG-11
236,1404,Nissan,Sentra,2015,Z-8250
237,3601,Hyundai,Accent,2012,YL-8167
238,4079,Nissan,Sentra,2022,HYVX-18
239,4129,Suzuki,Baleno,2022,BRRP-37
240,2273,Toyota,Yaris,2017,LHDW-14
241,760,Hyundai,Accent,2014,XCKC-10
242,2225,Chevrolet,Tracker,2025,RSSH-52
243,3364,Kia,Rio,2020,GBBK-28
244,1754,Nissan,Sentra,2022,PR-535
245,779,Toyota,Corolla,2021,JWCH-10
246,4171,Hyundai,Tucson,2018,VF-5798
247,3155,Kia,Sportage,2012,FLVL-45
248,2036,Hyundai,Accent,2024,KYJJ-87
249,3470,Suzuki,Baleno,2019,ST-9461
250,622,Toyota,Corolla,2023,HF-5072
251,4085,Chevrolet,Tracker,2024,HXRF-07
252,4242,Hyundai,Tucson,2023,ZPZZ-29
253,4091,Nissan,Sentra,2013,VCBH-25
254,171,Nissan,Sentra,2012,VDRW-44
255,220,Suzuki,Baleno,2021,Z-4787
256,4713,Nissan,Versa,2025,PJRK-70
257,3506,Toyota,RAV4,2012,WVVD-23
258,1570,Kia,Rio,2020,BZBT-19
259,3995,Mazda,CX-5,2017,FR-1210
260,1968,Kia,Rio,2016,XLFK-94
261,2235,Mazda,Mazda3,2025,SCZR-81
262,2984,Nissan,Sentra,2025,LXPG-78
263,249,Suzuki,Swift,2019,GGSP-30
264,3928,Toyota,Corolla,2018,SFSR-65
265,2654,Hyundai,Accent,2012,ZPFJ-49
266,1974,Toyota,Corolla,2018,LZXC-00
267,2186,Chevrolet,Tracker,2012,LCSV-83
268,2673,Nissan,Sentra,2013,BSPC-50
269,3043,Mazda,Mazda3,2013,JDPH-67
270,4125,Suzuki,Swift,2023,FJXZ-01
271,4841,Chevrolet,Spark,2021,CTGY-75
272,1672,Kia,Sportage,2014,CC-2805
273,1673,Toyota,RAV4,2017,PR-349
274,1912,Kia,Sportage,2017,DZHD-08
275,3510,Mazda,Mazda3,2022,XX-3289
276,1098,Kia,Sportage,2023,SLVL-42
277,4899,Toyota,Yaris,2014,CWPY-89
278,404,Suzuki,Swift,2023,JWGB-72
279,3017,Toyota,Corolla,2025,PR-941
280,2146,Suzuki,Baleno,2023,PSWD-75
281,3775,Chevrolet,Spark,2016,FTHW-99
282,2782,Kia,Rio,2020,KXDJ-63
283,2211,Mazda,Mazda3,2019,Z-8920
284,2079,Mazda,CX-5,2023,RP-0686
285,1614,Toyota,RAV4,2012,LLGV-83
286,548,Chevrolet,Spark,2014,TYLV-21
287,2597,Chevrolet,Spark,2014,DZ-8051
288,2948,Mazda,CX-5,2012,Z-4864
289,2406,Nissan,Sentra,2014,DBCW-20
290,3135,Chevrolet,Spark,2023,RSJD-89
291,2503,Suzuki,Swift,2017,BYGZ-11
292,1821,Chevrolet,Tracker,2016,LKXT-34
293,2845,Chevrolet,Tracker,2022,GYPP-63
294,1559,Suzuki,Swift,2019,TTHX-64
295,3706,Mazda,CX-5,2015,SJKY-58
296,1337,Suzuki,Swift,2013,STST-30
297,2562,Toyota,Corolla,2018,DKJB-12
298,2410,Suzuki,Baleno,2015,HSJZ-42
299,404,Suzuki,Baleno,2018,SFKZ-61
300,3801,Nissan,Sentra,2013,XKJX-63
301,2141,Hyundai,Tucson,2019,XBGK-75
302,812,Suzuki,Baleno,2015,AB-1530
303,3077,Hyundai,Accent,2022,ZDGJ-17
304,926,Kia,Sportage,2022,VR-3448
305,1075,Kia,Sportage,2016,YCVT-15
306,4985,Mazda,Mazda3,2024,CWLC-23
307,1229,Chevrolet,Tracker,2012,DPWH-13
308,73,Hyundai,Tucson,2015,LWCB-40
309,4713,Kia,Sportage,2023,JPVG-75
310,2247,Nissan,Sentra,2025,RP-1621
311,3091,Suzuki,Baleno,2018,TDWP-85
312,164,Chevrolet,Tracker,2016,PR-025
313,2316,Hyundai,Tucson,2019,RSFZ-73
314,4048,Suzuki,Swift,2012,DLYC-94
315,4952,Hyundai,Tucson,2018,VVDF-40
316,3876,Nissan,Versa,2016,RP-7666
317,3849,Toyota,RAV4,2012,TPDD-14
318,4715,Kia,Rio,2019,ZWPK-02
319,1857,Chevrolet,Spark,2024,HDLP-48
320,3302,Suzuki,Baleno,2019,VZFH-51
321,2721,Hyundai,Tucson,2015,PZWH-07
322,2088,Suzuki,Swift,2024,TR-4817
323,119,Kia,Rio,2013,PA-0799
324,4188,Mazda,Mazda3,2020,DLSW-84
325,1675,Toyota,Yaris,2021,PYLK-32
326,135,Chevrolet,Spark,2019,JB-2075
327,1909,Nissan,Sentra,2016,PLXF-01
328,899,Hyundai,Accent,2021,ZRRK-39
329,1678,Kia,Rio,2020,PYFG-79
330,2480,Nissan,Sentra,2014,AL-5155
331,3325,Toyota,Corolla,2022,CS-9274
332,4372,Suzuki,Baleno,2025,GWYV-19
333,3262,Toyota,Yaris,2017,LK-9253
334,4535,Toyota,Yaris,2023,SPCF-73
335,3431,Nissan,Sentra,2019,BY-3990
336,1496,Kia,Sportage,2015,TVYK-22
337,3764,Nissan,Sentra,2025,WZ-6919
338,4099,Suzuki,Swift,2022,GBZV-87
339,341,Chevrolet,Tracker,2014,PCKV-98
340,3596,Mazda,Mazda3,2021,DFDR-08
341,4071,Chevrolet,Spark,2021,GGBL-61
342,3237,Hyundai,Accent,2022,WHDV-78
343,4827,Mazda,CX-5,2014,SZSP-06
344,665,Mazda,CX-5,2021,TWVL-68
345,961,Nissan,Sentra,2020,FWPX-37
346,3009,Chevrolet,Tracker,2014,VR-7198
347,1639,Mazda,CX-5,2025,YPYV-47
348,4185,Kia,Sportage,2012,WJPL-83
349,1106,Suzuki,Baleno,2016,CVFD-13
350,2917,Suzuki,Baleno,2019,KZXT-90
351,967,Kia,Sportage,2019,LV-1721
352,3159,Kia,Rio,2015,TKZY-32
353,721,Toyota,RAV4,2024,KFCZ-21
354,2926,Toyota,Corolla,2017,FWVF-88
355,1324,Chevrolet,Spark,2014,YJGP-99
356,1520,Toyota,RAV4,2019,CP-3978
357,3913,Mazda,CX-5,2019,TRKF-21
358,1997,Kia,Sportage,2012,RP-7197
359,3586,Mazda,CX-5,2024,VSWK-51
360,3391,Nissan,Versa,2025,CC-0028
361,560,Toyota,Corolla,2025,CSZT-64
362,3860,Chevrolet,Tracker,2013,JBTJ-17
363,4281,Kia,Sportage,2023,JHHG-04
364,2923,Kia,Sportage,2021,WW-5896
365,1608,Mazda,Mazda3,2013,KI-6952
366,505,Suzuki,Baleno,2017,FFLK-97
367,196,Chevrolet,Tracker,2012,VXZC-21
368,3995,Chevrolet,Tracker,2022,XPWP-24
369,4461,Mazda,CX-5,2015,WWHG-62
370,32,Nissan,Sentra,2024,KPKH-79
371,3203,Nissan,Sentra,2025,WR-7871
372,2093,Suzuki,Swift,2021,TJRD-30
373,2983,Suzuki,Swift,2013,VT-2151
374,2210,Nissan,Sentra,2015,RCVR-14
375,4986,Kia,Sportage,2020,JPFB-89
376,3821,Kia,Sportage,2012,XJWJ-84
377,3045,Mazda,CX-5,2016,GWCT-18
378,4942,Mazda,CX-5,2014,RBXX-76
379,171,Mazda,CX-5,2015,GXBF-02
380,2857,Mazda,Mazda3,2022,CF-9446
381,2888,Mazda,CX-5,2012,THCC-74
382,4653,Nissan,Sentra,2013,CGRS-10
383,539,Nissan,Versa,2018,YGXT-99
384,3673,Kia,Rio,2025,RP-3210
385,364,Hyundai,Tucson,2016,JJ-4899
386,3527,Kia,Rio,2015,RSZF-54
387,4806,Mazda,Mazda3,2024,JLGS-63
388,915,Kia,Rio,2014,VS-9312
389,2028,Kia,Sportage,2018,HA-0142
390,3515,Mazda,Mazda3,2016,XWCC-73
391,2799,Nissan,Versa,2016,SWLS-54
392,2957,Toyota,Yaris,2015,XJCR-18
393,4494,Hyundai,Tucson,2013,CD-2108
394,3435,Chevrolet,Spark,2014,PR-869
395,4062,Toyota,Corolla,2018,HSZR-59
396,1771,Nissan,Sentra,2021,CGCG-18
397,2907,Mazda,Mazda3,2018,WL-6417
398,3583,Chevrolet,Spark,2020,LK-4366
399,2588,Chevrolet,Tracker,2012,RP-6217
400,1586,Hyundai,Tucson,2016,VJSC-55
401,4286,Nissan,Sentra,2014,PR-076
402,2508,Nissan,Sentra,2013,CYLH-89
403,2027,Nissan,Versa,2023,GLFY-06
404,3010,Toyota,Yaris,2020,LFGZ-72
405,1445,Hyundai,Accent,2022,PRYC-77
406,3533,Suzuki,Swift,2023,PR-619
407,2658,Suzuki,Swift,2025,ZBHR-55
408,612,Nissan,Sentra,2020,FJJX-39
409,1929,Toyota,RAV4,2021,DHGB-81
410,3433,Suzuki,Swift,2019,BPDS-29
411,1432,Nissan,Sentra,2018,FBTH-20
412,3575,Chevrolet,Tracker,2021,GPVC-60
413,3179,Chevrolet,Spark,2016,Z-1973
414,3766,Toyota,RAV4,2021,PR-504
415,529,Mazda,Mazda3,2022,ZRRR-51
416,4109,Hyundai,Accent,2017,HJZF-61
417,714,Hyundai,Accent,2014,VH-3804
418,3576,Toyota,Corolla,2018,JYHB-72
419,1721,Toyota,Corolla,2021,XZ-2192
420,4375,Chevrolet,Tracker,2025,PGJT-57
421,3699,Toyota,Yaris,2012,LLSF-85
422,1580,Nissan,Versa,2012,XC-6743
423,3832,Kia,Sportage,2012,RCYY-27
424,4586,Mazda,Mazda3,2021,XHVB-70
425,4456,Mazda,CX-5,2013,YJRR-35
426,2580,Hyundai,Accent,2016,RP-5617
427,3971,Toyota,RAV4,2017,RC-6363
428,839,Suzuki,Swift,2020,DDRR-38
429,4580,Hyundai,Tucson,2014,WD-2112
430,2857,Kia,Rio,2017,WVVR-99
431,3503,Hyundai,Accent,2022,KFSB-09
432,3182,Chevrolet,Spark,2020,LZZK-98
433,1094,Hyundai,Tucson,2021,TS-4782
434,3477,Toyota,Yaris,2022,GVXF-78
435,3705,Hyundai,Tucson,2025,RSGW-11
436,2516,Toyota,Corolla,2015,CZ-6057
437,869,Hyundai,Tucson,2023,XJSP-21
438,1350,Nissan,Versa,2017,JLHZ-37
439,2880,Chevrolet,Tracker,2012,WKWK-43
440,4227,Hyundai,Accent,2018,CKBW-47
441,2332,Kia,Sportage,2013,FZKY-76
442,525,Kia,Sportage,2019,XXJD-55
443,2049,Mazda,CX-5,2022,VWSL-63
444,2492,Hyundai,Tucson,2014,FYDS-95
445,3212,Chevrolet,Spark,2017,KFHX-09
446,1578,Chevrolet,Tracker,2024,DDLV-41
447,288,Hyundai,Accent,2020,FFTH-53
448,1835,Kia,Rio,2015,CTZF-01
449,1821,Hyundai,Accent,2021,DRZV-25
450,424,Toyota,Corolla,2021,LBVT-42
451,4064,Toyota,Yaris,2018,GGBS-64
452,2375,Hyundai,Accent,2018,BK-3824
453,2322,Chevrolet,Spark,2022,YGTS-07
454,3777,Toyota,Yaris,2018,GBTK-36
455,2885,Kia,Sportage,2019,ZVKV-90
456,1147,Kia,Sportage,2021,FJGJ-39
457,2673,Toyota,RAV4,2023,SBPD-44
458,80,Chevrolet,Tracker,2016,ZYVV-32
459,1749,Chevrolet,Tracker,2022,PR-087
460,1922,Nissan,Sentra,2019,YB-5864
461,4830,Kia,Sportage,2013,FPWX-30
462,1786,Kia,Rio,2020,SS-3807
463,2945,Chevrolet,Spark,2012,LPTK-51
464,4116,Kia,Sportage,2016,WCLF-80
465,4111,Toyota,Corolla,2024,VJ-7986
466,2128,Kia,Sportage,2014,SR-6446
467,4224,Toyota,Corolla,2021,RP-8645
468,3143,Toyota,Corolla,2025,Z-5603
469,989,Chevrolet,Tracker,2023,SZHD-26
470,470,Suzuki,Baleno,2020,PRLJ-24
471,221,Mazda,Mazda3,2022,CP-5367
472,2063,Hyundai,Tucson,2019,FWRL-37
473,526,Kia,Sportage,2018,CGZH-08
474,3740,Chevrolet,Spark,2016,JL-6146
475,4865,Kia,Sportage,2019,PSCT-18
476,4988,Suzuki,Baleno,2014,RL-2118
477,4075,Mazda,Mazda3,2017,Z-7195
478,2820,Chevrolet,Spark,2013,ZSZS-68
479,3228,Toyota,Corolla,2020,ZCTJ-79
480,4644,Chevrolet,Tracker,2017,RTLH-06
481,3473,Nissan,Versa,2014,HPGV-10
482,1482,Chevrolet,Tracker,2020,FTDX-71
483,1850,Chevrolet,Tracker,2012,VDWD-27
484,2498,Toyota,Corolla,2025,FXKX-85
485,2926,Kia,Rio,2023,JGWD-41
486,873,Hyundai,Tucson,2023,RS-4321
487,255,Toyota,Corolla,2025,HDDC-73
488,4483,Nissan,Versa,2022,CWPD-69
489,3442,Toyota,Corolla,2019,Z-9749
490,4416,Chevrolet,Tracker,2022,GGPL-38
491,416,Chevrolet,Tracker,2018,CZBH-50
492,117,Hyundai,Tucson,2017,DKXT-22
493,1750,Suzuki,Baleno,2015,XPTD-62
494,870,Mazda,CX-5,2013,VTYR-03
495,2680,Mazda,Mazda3,2020,HRXS-82
496,1096,Mazda,Mazda3,2013,TH-0066
497,3929,Suzuki,Swift,2020,FGVX-87
498,1484,Hyundai,Tucson,2025,ZLJF-78
499,3201,Nissan,Sentra,2020,VKVC-23
500,3954,Hyundai,Tucson,2013,BXFX-40
501,1924,Mazda,CX-5,2015,JWJW-64
502,1639,Toyota,RAV4,2012,PCGW-35
503,1962,Hyundai,Tucson,2014,DTWH-64
504,2713,Toyota,Corolla,2017,WHPY-49
505,408,Chevrolet,Tracker,2013,KFCR-97
506,4259,Hyundai,Accent,2018,FWVF-95
507,307,Chevrolet,Tracker,2016,KX-9784
508,1173,Suzuki,Swift,2016,GBRJ-04
509,3177,Suzuki,Baleno,2015,VF-4736
510,29,Mazda,Mazda3,2019,PR-525
511,3838,Suzuki,Swift,2014,LTDZ-47
512,4299,Mazda,CX-5,2017,GR-1494
513,1031,Hyundai,Tucson,2017,ZYRD-37
514,2343,Nissan,Versa,2018,WYZW-21
515,2375,Mazda,Mazda3,2023,GS-4942
516,3483,Mazda,CX-5,2018,XV-6218
517,1795,Kia,Sportage,2024,XHKD-59
518,2992,Nissan,Versa,2022,SC-6878
519,1190,Hyundai,Accent,2015,WPPW-47
520,4400,Kia,Rio,2017,RZGD-69
521,4412,Toyota,Corolla,2023,RP-8914
522,5000,Chevrolet,Spark,2014,AZ-5746
523,888,Kia,Rio,2016,VHWH-77
524,4652,Toyota,Yaris,2014,XVPZ-31
525,4290,Nissan,Versa,2012,RP-5544
526,2865,Toyota,Corolla,2023,TX-8874
527,1987,Suzuki,Baleno,2014,LRGG-04
528,4104,Suzuki,Baleno,2020,JSWS-42
529,3914,Chevrolet,Tracker,2018,Z-9814
530,4158,Suzuki,Swift,2016,BP-7698
531,2214,Chevrolet,Spark,2021,XDSF-54
532,3085,Suzuki,Baleno,2017,KZHG-48
533,4194,Suzuki,Swift,2021,LFKB-28
534,1108,Hyundai,Accent,2019,PR-447
535,740,Chevrolet,Tracker,2020,FLZG-46
536,4342,Toyota,Yaris,2021,BT-2581
537,3518,Suzuki,Swift,2018,RR-0935
538,1784,Nissan,Sentra,2016,YYXD-33
539,584,Chevrolet,Tracker,2018,WBFJ-35
540,2393,Chevrolet,Spark,2021,SFSZ-09
541,4876,Mazda,CX-5,2019,HP-8388
542,1122,Suzuki,Baleno,2014,HBJF-97
543,3940,Kia,Sportage,2018,CXYT-23
544,394,Hyundai,Tucson,2020,HRKZ-16
545,4882,Nissan,Sentra,2019,RP-6451
546,4506,Mazda,CX-5,2020,WHKZ-54
547,589,Hyundai,Tucson,2013,BC-5316
548,4038,Suzuki,Swift,2014,HFJH-31
549,1326,Toyota,Corolla,2013,RSLP-82
550,1710,Chevrolet,Tracker,2015,FFFG-21
551,4466,Chevrolet,Tracker,2014,GHHD-92
552,2673,Kia,Rio,2019,GHGT-51
553,3170,Nissan,Sentra,2016,KFZH-48
554,2854,Mazda,Mazda3,2024,ZHGF-31
555,4687,Chevrolet,Spark,2015,VXTK-45
556,1074,Mazda,Mazda3,2022,FZBP-38
557,1483,Mazda,Mazda3,2024,PWSL-77
558,3991,Toyota,RAV4,2025,WSLY-66
559,3530,Nissan,Sentra,2015,HX-7598
560,448,Toyota,Corolla,2023,KF-3222
561,4239,Chevrolet,Tracker,2023,KWJW-10
562,4304,Chevrolet,Tracker,2014,GR-5721
